Partner Name,Year,Export (US$ Thousand),Import (US$ Thousand),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Continente,Intervalo,Share_Cafe,Share_Banano,Share_Cardamomo,Share_Azucar,Share_Textiles,Share_Hortalizas,Share_Pescado,Share_Lacteos,Share_Carne,Share_Plasticos,Arancel_Ajustado,Share_Total_Ponderado,Demanda_Ajustada,Revealed Comparative Advantage,MFN SpecificDuty Imports (log),TLC_Con_GT,Arancel_Especifico_GT,Mercado_Atractivo
El Salvador,1996,2441782.18,1920644.92,0.8,9.14,12.83,73.47,73.47,22.16,2.07,2.3,359.71,0.0,462057.76,1647950.25,122619.74,13.93,20.11,207155.0,72.05,16.96,188.59,77.45,3000.0,1320485.84,1770569.99,0.0,América,1994-1996,4.5412888953221145e-05,6.811933342983171e-05,1.1353222238305286e-05,5.676611119152643e-05,8.514916678728963e-05,3.97362778340685e-05,2.838305559576321e-05,3.4059666714915854e-05,5.108950007237378e-05,5.676611119152643e-05,539.5649999999999,5.0010943959734784e-05,0.17769050060708574,0,14.093511044747665,0,431.652,0
Somalia,1996,101381.7,140898.15,4.154359526372444,5.46,14.09,16.6,16.6,80.83,0.0,2.57,234.29,0.0,0.0,18647.61,22051.38,13.04,17.23,14514.0,70.55,20.64,164.43,88.34,825.79,7156.67,40698.99,0.0,África,1994-1996,8.32870247518773e-07,4.164351237593865e-07,4.1643512375938655e-08,8.32870247518773e-07,4.164351237593865e-06,4.164351237593865e-07,4.997221485112638e-07,8.32870247518773e-08,1.2493053712781596e-07,6.246526856390797e-06,351.435,9.444748606862886e-07,0.00037758667723752123,0,8.875939788000027,0,281.14799999999997,0
Sao Tome and Principe,1996,35195.56,8794.55,4.154359526372444,7.21,1.09,14.67,14.67,82.42,2.35,0.56,61.0,0.0,53.12,1035.41,7506.85,11.85,9.35,19750.0,72.96,17.74,156.22,49.61,1911.41,7510.11,8542.26,0.0,África,1994-1996,5.1985913479461764e-08,2.5992956739730882e-08,2.5992956739730877e-09,5.1985913479461764e-08,2.599295673973088e-07,2.5992956739730882e-08,3.1191548087677056e-08,5.1985913479461754e-09,7.797887021919264e-09,3.8989435109596313e-07,91.5,5.895202588570963e-08,5.6049355594937036e-06,0,8.924138536765831,0,73.2,0
Suriname,1996,585146.54,573489.55,-11.55,6.12,2.26,19.78,19.78,63.76,5.18,11.28,370.99,0.0,2783.79,407329.24,79441.31,14.23,9.68,50317.0,68.17,21.68,169.48,108.61,1777.34,112162.01,486770.55,0.0,América,1994-1996,1.3559933425894657e-05,2.0339900138841983e-05,3.389983356473664e-06,1.6949916782368323e-05,2.542487517355248e-05,1.1864941747657828e-05,8.474958391184162e-06,1.0169950069420992e-05,1.5254925104131488e-05,1.6949916782368323e-05,556.485,1.4932876685266492e-05,0.015361576958014966,0,11.627708538570232,0,445.188,0
Slovenia,1996,9013171.47,7923616.53,-0.37,6.85,7.43,64.47,64.47,27.99,1.0,6.54,1667.42,0.0,476426.18,6566707.17,205229.57,12.21,13.7,391866.0,70.24,17.71,115.66,40.38,3000.0,5764264.56,6771936.74,0.0,Europa,1994-1996,0.000351282706369,0.0001873507767301,2.341884709126749e-05,0.0001170942354563,0.0002810261650952,9.367538836506998e-05,0.0002341884709126,0.0001639319296388,0.0001405130825476,0.0002810261650952,2501.13,0.0002124089431177,0.6726457109771424,0,15.567188307212362,0,2000.904,0
Sweden,1996,60557628.11,78525107.69,2.23,8.03,9.84,65.15,65.15,29.76,3.15,1.94,3000.0,0.0,19922973.25,31437378.1,627634.8,12.06,11.27,503306.0,69.35,18.46,44.6,14.67,3000.0,29390000.34,32065012.89,0.0,Europa,1994-1996,0.0034813032966477,0.0018566950915454,0.0002320868864431,0.0011604344322159,0.0027850426373181,0.0009283475457727,0.0023208688644318,0.0016246082051022,0.001392521318659,0.0027850426373181,4500.0,0.0021050280600396,36.72462899468593,0,17.196165083988838,0,3600.0,0
Seychelles,1996,282608.24,64323.89,16.68,4.53,0.71,11.52,11.52,78.72,6.47,3.28,490.26,0.0,1264.64,8160.57,37363.48,11.81,15.48,38152.0,68.41,21.99,222.87,101.95,665.8,6304.43,45524.05,0.0,África,1994-1996,3.80228230006358e-07,1.90114115003179e-07,1.90114115003179e-08,3.80228230006358e-07,1.9011411500317897e-06,1.90114115003179e-07,2.281369380038148e-07,3.80228230006358e-08,5.7034234500953696e-08,2.851711725047685e-06,735.39,4.3117881282721e-07,3.7663600166525955e-05,0,8.749166445914913,0,588.312,0
Syrian Arab Republic,1996,4269093.57,3507512.04,4.846360655737705,9.35,1.38,50.82,50.82,37.82,1.49,9.87,358.65,0.0,279734.62,551351.81,2577289.57,15.5,8.84,158495.0,73.03,16.5,137.1,79.83,3000.0,3059623.58,3128641.38,0.0,Asia,1994-1996,5.183358370798121e-05,4.146686696638496e-05,0.0002073343348319,6.220030044957744e-05,0.0001866009013487,3.110015022478872e-05,0.0001244006008991,2.073343348319248e-05,4.146686696638496e-05,0.0001555007511239,537.9749999999999,8.832442663839999e-05,0.5747928751060527,0,14.933802780127476,0,430.37999999999994,0
Chad,1996,143362.67,123029.32,4.154359526372444,11.04,2.33,22.04,22.04,73.92,1.34,2.69,490.26,0.0,91590.89,106006.71,10185.79,10.92,4.35,15938.0,68.57,20.12,337.63,147.31,1667.42,115100.21,116192.49,0.0,África,1994-1996,7.272448942762296e-07,3.636224471381148e-07,3.636224471381148e-08,7.272448942762296e-07,3.636224471381148e-06,3.636224471381148e-07,4.363469365657378e-07,7.272448942762298e-08,1.0908673414143446e-07,5.4543367070717215e-06,735.39,8.246957101092444e-07,0.00013778263205863398,0,11.653567107252458,0,588.312,0
Togo,1996,663269.12,260020.7,9.53,6.33,1.59,14.55,14.55,76.97,1.4,7.08,1617.56,0.0,62739.51,114537.65,112521.52,14.78,16.18,59670.0,70.9,19.84,176.16,90.08,3000.0,209096.11,227059.17,0.0,África,1994-1996,1.5370216342017594e-06,7.685108171008797e-07,7.685108171008799e-08,1.5370216342017594e-06,7.685108171008797e-06,7.685108171008797e-07,9.222129805210556e-07,1.5370216342017598e-07,2.305532451302639e-07,1.1527662256513195e-05,2426.34,1.7429825331847952e-06,0.00018671118935397748,0,12.250554064183,0,1941.072,0
Thailand,1996,59288331.6,54251946.77,1.08,8.79,11.69,60.75,60.75,32.68,2.26,4.31,2607.18,0.0,19295553.58,55141087.61,183702.97,12.48,13.26,490111.0,69.62,18.23,54.35,19.54,3000.0,37690666.68,55324790.59,0.0,Asia,1994-1996,0.0008017286304806,0.0006413829043845,0.0032069145219227,0.0009620743565768,0.0028862230697304,0.0004810371782884,0.0019241487131536,0.0003206914521922,0.0006413829043845,0.002405185891442,3910.7699999999995,0.001366145586339,18.946936458466087,0,17.444923080130188,0,3128.6159999999995,0
Tajikistan,1996,363070.59,344615.54,4.846360655737705,10.96,5.14,72.35,72.35,14.87,0.72,12.06,50.0,0.0,1513.01,286906.89,1975.93,15.0,9.68,51981.0,69.45,17.04,268.38,238.48,2103.01,258823.98,288882.81,0.0,Asia,1994-1996,5.092686279035878e-06,4.0741490232287024e-06,2.0370745116143512e-05,6.111223534843053e-06,1.833367060452916e-05,3.0556117674215264e-06,1.2222447069686106e-05,2.0370745116143512e-06,4.0741490232287024e-06,1.5278058837107632e-05,75.0,8.677937419477133e-06,0.0393493696039384,0,12.463907359362024,0,60.0,0
Turkmenistan,1996,1015877.49,2160155.11,4.846360655737705,10.14,3.26,60.11,60.11,25.88,0.67,13.34,233.57,0.0,38.0,374526.24,8871.67,14.3,15.31,37864.0,67.03,19.39,188.26,154.84,3000.0,376225.64,383397.92,0.0,Asia,1994-1996,3.192250787438732e-05,2.553800629950985e-05,0.0001276900314975,3.830700944926478e-05,0.0001149210283477,1.915350472463239e-05,7.661401889852956e-05,1.2769003149754926e-05,2.553800629950985e-05,9.576752362316194e-05,350.355,5.439595341795598e-05,0.3344301254831141,0,12.837947006739046,0,280.284,0
Tonga,1996,52742.86,18558.61,4.073670212765958,10.09,7.9,28.57,28.57,61.73,2.81,6.89,617.52,0.0,17.48,13920.78,3243.53,15.07,25.96,15721.0,67.74,23.59,195.15,152.55,1617.56,2276.16,17164.31,0.0,Oceanía,1994-1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.28,0.0,0.0,0,7.730684331491421,0,741.024,0
Trinidad and Tobago,1996,1701304.63,2146866.47,13.09,15.78,11.77,54.89,54.89,24.26,19.15,1.69,2674.58,0.0,1041155.89,2138987.34,122065.88,14.69,12.57,216748.0,71.63,17.38,134.37,65.35,3000.0,1415859.45,2261053.21,0.0,América,1994-1996,5.076180796578677e-05,7.614271194868015e-05,1.2690451991446692e-05,6.345225995723346e-05,9.51783899358502e-05,4.441658197006343e-05,3.172612997861673e-05,3.807135597434008e-05,5.710703396151011e-05,6.345225995723346e-05,2139.664,5.590144102232267e-05,0.05606341273338883,0,14.163247996119322,1,2139.664,0
Tunisia,1996,6711238.38,5413288.03,-1.3,4.36,7.77,26.89,26.89,63.32,0.96,8.84,1617.56,0.0,612952.89,4458342.76,713093.75,13.4,16.74,263055.0,71.66,17.04,179.65,73.87,3000.0,3888762.73,5171436.51,0.0,África,1994-1996,3.199876323029444e-05,1.599938161514722e-05,1.5999381615147222e-06,3.199876323029444e-05,0.0001599938161514,1.599938161514722e-05,1.9199257938176667e-05,3.1998763230294444e-06,4.799814484544167e-06,0.0002399907242272,2426.34,3.628659750315391e-05,0.08092389360915692,0,15.173601857885275,0,1941.072,0
Turkey,1996,34995394.84,19903671.45,9.65,6.59,9.54,49.41,49.41,43.35,0.74,6.5,1617.56,0.0,2975090.4,16964060.95,1163783.42,12.68,16.87,439408.0,70.17,17.84,86.95,32.04,3000.0,13845935.64,18127844.36,0.0,Asia,1994-1996,0.000294134021048,0.0002353072168384,0.0011765360841922,0.0003529608252576,0.001058882475773,0.0001764804126288,0.0007059216505153,0.0001176536084192,0.0002353072168384,0.0008824020631442,2426.34,0.0005012043718659,4.10976919052234,0,16.443502364158793,0,1941.072,0
Tuvalu,1996,4326.31,1734.48,4.073670212765958,4.61,1.1,28.65,28.65,57.31,11.7,2.34,20.0,0.0,97.41,311.79,1146.04,12.93,6.3,6056.0,72.56,19.04,203.51,94.15,431.66,1285.92,1457.82,0.0,Oceanía,1994-1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0,7.16000704560195,0,24.0,0
Tanzania,1996,1081596.3,672893.07,-12.95,5.37,8.71,17.08,17.08,72.21,5.8,4.92,2097.99,0.0,92426.97,483083.1,116888.2,12.15,13.27,74445.0,67.68,22.43,179.22,62.05,3000.0,490435.03,599971.3,0.0,África,1994-1996,3.977572578238728e-06,1.988786289119364e-06,1.988786289119364e-07,3.977572578238728e-06,1.988786289119364e-05,1.988786289119364e-06,2.3865435469432365e-06,3.977572578238728e-07,5.966358867358091e-07,2.9831794336790456e-05,3146.9849999999997,4.5105673037227175e-06,0.0009641499182631436,0,13.10305013154152,0,2517.5879999999997,0
Uganda,1996,425380.27,639096.97,-4.18,3.74,5.01,16.89,16.89,64.44,2.85,15.81,490.26,0.0,14370.28,518456.37,43825.12,13.04,15.33,35257.0,68.56,20.33,123.4,100.17,2793.75,504367.83,562281.49,0.0,África,1994-1996,3.7777987261890792e-06,1.88889936309454e-06,1.88889936309454e-07,3.7777987261890792e-06,1.88889936309454e-05,1.88889936309454e-06,2.266679235713448e-06,3.777798726189079e-07,5.666698089283618e-07,2.833349044641809e-05,735.39,4.284023755498415e-06,0.003718011653535569,1,13.13106308496994,0,588.312,0
Ukraine,1996,14785041.07,13179574.02,3.511804733727811,7.83,8.09,68.8,68.8,26.64,1.37,3.19,888.8,0.0,729387.02,10441181.47,213371.64,11.79,10.95,420217.0,69.06,18.64,113.64,39.3,3000.0,7828491.44,10654553.11,0.0,Europa,1994-1996,0.0005842983961941,0.0003116258113035,3.895322641294222e-05,0.0001947661320647,0.0004674387169553,0.0001558129056517,0.0003895322641294,0.0002726725848905,0.0002337193584776,0.0004674387169553,1333.1999999999998,0.0003533057635653,3.4900460670075635,0,15.873280513031007,0,1066.56,0
Uruguay,1996,3792269.77,2648772.02,7.67,11.98,20.93,72.21,72.21,18.81,0.92,8.06,1667.42,0.0,155819.63,2502935.75,66608.39,13.83,18.85,249213.0,71.05,18.18,124.15,66.63,3000.0,1787013.12,2569544.14,0.0,América,1994-1996,6.262916604421564e-05,9.394374906632345e-05,1.565729151105391e-05,7.828645755526955e-05,0.0001174296863329,5.480052028868868e-05,3.914322877763478e-05,4.697187453316172e-05,7.045781179974259e-05,7.828645755526955e-05,2501.13,6.897036910619247e-05,0.07301250690314053,0,14.39605669562126,0,2000.904,0
United States,1996,745944093.85,637439444.11,2.99,11.35,10.55,72.18,72.18,17.29,6.63,3.9,3000.0,0.0,452056620.26,612448737.16,26376.6,12.06,10.7,561268.0,68.52,19.01,17.77,6.05,3000.0,511918862.72,612475113.76,0.0,América,1994-1996,0.0150720033611264,0.0226080050416896,0.0037680008402816,0.018840004201408,0.0282600063021121,0.0131880029409856,0.009420002100704,0.0113040025208448,0.0169560037812672,0.018840004201408,7500.0,0.0165980437014405,1410.5116318303853,0,20.05367670114932,1,2400.0,0
Uzbekistan,1996,3980084.65,2768768.88,4.846360655737705,12.15,4.39,71.69,71.69,19.75,0.28,8.28,168.26,0.0,9947.24,2530932.07,28778.09,14.14,8.58,133022.0,71.21,16.86,257.26,150.71,2793.75,2403512.93,2559710.16,0.0,Asia,1994-1996,4.0916527690531705e-05,3.273322215242537e-05,0.0001636661107621,4.909983322863804e-05,0.0001472994996859,2.454991661431902e-05,9.819966645727608e-05,1.6366611076212684e-05,3.273322215242537e-05,0.0001227495830715,252.39,6.972176318466602e-05,0.7618431988809068,0,14.69244236201394,0,201.91199999999998,0
Venezuela,1996,10948291.71,21953718.45,-9.17,9.1,5.24,69.09,69.09,23.97,4.12,2.83,575.46,0.0,16711952.17,21560844.39,443736.1,12.45,9.02,323054.0,70.21,18.18,134.64,51.46,3000.0,20860539.39,22004580.49,0.0,América,1994-1996,0.0005190869835951,0.0007786304753927,0.0001297717458987,0.0006488587294939,0.0009732880942408,0.0004542011106457,0.0003244293647469,0.0003893152376963,0.0005839728565445,0.0006488587294939,460.36800000000005,0.0005716445406841,27.201113427152077,0,16.85336991276224,1,460.36800000000005,0
Vietnam,1996,10236953.68,6936127.68,4.846360655737705,8.77,14.66,63.98,63.98,28.7,1.27,6.06,1741.79,0.0,2959426.78,7073538.47,88106.64,13.98,16.5,299964.0,71.62,17.45,100.22,44.08,3000.0,5606153.13,7161645.11,0.0,Asia,1994-1996,0.0001025012460714,8.20009968571399e-05,0.0004100049842856,0.0001230014952857,0.0003690044858571,6.150074764285492e-05,0.0002460029905714,4.100049842856995e-05,8.20009968571399e-05,0.0003075037382142,2612.685,0.0001746621233057,0.4635136935431159,1,15.539375504085614,0,2090.1479999999997,0
Vanuatu,1996,149176.53,43404.64,4.073670212765958,5.15,5.43,29.17,29.17,70.49,0.0,0.34,288.48,0.0,0.0,24665.46,7326.61,13.97,12.56,20086.0,63.89,26.77,166.95,149.41,1617.56,14740.84,31992.07,0.0,Oceanía,1994-1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.72,0.0,0.0,0,9.598444988346149,0,346.176,0
Samoa,1996,124809.37,70693.36,4.073670212765958,3.62,1.64,12.75,12.75,78.85,3.5,4.9,48.05,0.0,2058.78,50060.64,11935.86,12.93,13.02,19463.0,67.43,23.67,144.54,98.18,1617.56,53317.81,61996.5,0.0,Oceanía,1994-1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.07499999999999,0.0,0.0,0,10.884044455964071,0,57.66,0
Yemen,1996,1977950.85,2050036.74,4.846360655737705,6.1,4.37,37.1,37.1,56.78,2.95,3.16,347.77,0.0,1876619.74,1914075.81,57778.24,11.79,8.11,53606.0,68.07,20.5,230.46,97.91,3000.0,1951478.33,1971854.05,0.0,Asia,1994-1996,3.02951920778658e-05,2.423615366229264e-05,0.0001211807683114,3.635423049343895e-05,0.0001090626914803,1.8177115246719474e-05,7.27084609868779e-05,1.211807683114632e-05,2.423615366229264e-05,9.08855762335974e-05,521.655,5.162300730068332e-05,0.2024835916535555,0,14.484098273694292,0,417.32399999999996,0
South Africa,1996,22712418.74,24457332.29,0.24,17.4,7.93,63.16,63.16,30.71,1.1,5.02,2103.01,0.0,1901032.07,24443446.14,287357.64,11.83,9.55,507233.0,68.75,18.81,91.84,30.6,3000.0,22397335.17,24730803.78,0.0,África,1994-1996,0.0001445709854815,7.228549274075344e-05,7.228549274075344e-06,0.0001445709854815,0.0007228549274075,7.228549274075344e-05,8.674259128890413e-05,1.4457098548150687e-05,2.1685647822226032e-05,0.0010842823911113,3154.5150000000003,0.000163943497536,1.2706707450361503,0,16.924452588771466,0,2523.612,0
"Congo, Dem. Rep.",1996,1134013.52,1614142.6,4.154359526372444,4.0,1.57,14.87,14.87,76.01,4.63,4.49,350.0,0.0,181033.19,880771.9,660235.09,12.28,11.64,54383.0,65.91,23.34,192.78,92.15,3000.0,1505669.63,1541007.0,0.0,África,1994-1996,9.541440727167786e-06,4.770720363583893e-06,4.770720363583893e-07,9.541440727167786e-06,4.770720363583893e-05,4.770720363583893e-06,5.724864436300672e-06,9.541440727167786e-07,1.431216109075168e-06,7.156080545375839e-05,525.0,1.081999378460827e-05,0.03320344657694189,0,14.224748958243229,0,420.0,0
Zambia,1996,813689.75,926510.57,6.21,6.57,4.52,24.2,24.2,44.29,18.64,12.87,249.0,0.0,48755.47,658841.15,48659.83,12.07,6.51,92033.0,66.0,21.74,255.12,116.46,3000.0,684109.83,707500.98,0.0,África,1994-1996,5.476743930027892e-06,2.738371965013946e-06,2.738371965013946e-07,5.476743930027892e-06,2.7383719650139463e-05,2.738371965013946e-06,3.2860463580167355e-06,5.476743930027892e-07,8.215115895041839e-07,4.107557947520919e-05,373.5,6.210627616651632e-06,0.015365052424997718,0,13.435875215642636,0,298.8,0
Zimbabwe,1996,2259876.3,1960186.21,4.154359526372444,7.91,15.8,29.27,29.27,43.36,18.18,9.19,1617.56,0.0,816159.58,1697273.76,212606.08,13.38,18.85,255094.0,69.59,18.38,191.89,89.13,3000.0,1714077.61,1909879.84,0.0,África,1994-1996,1.158695677626417e-05,5.793478388132085e-06,5.793478388132085e-07,1.158695677626417e-05,5.793478388132085e-05,5.793478388132085e-06,6.952174065758501e-06,1.158695677626417e-06,1.7380435164396254e-06,8.690217582198127e-05,2426.34,1.3139608984283568e-05,0.010610825156667279,0,14.354386240565413,0,1941.072,0
Afghanistan,1997,421899.34,123047.46,4.846360655737705,10.71,8.45,60.77,60.77,31.98,1.15,6.1,149.84,0.0,1976.73,75847.44,24247.51,12.61,11.25,63399.0,76.31,19.09,49.12,110.82,1511.4,100059.75,100094.95,0.0,Asia,1997-1999,1.8183803063907568e-06,1.4547042451126057e-06,7.273521225563027e-06,2.182056367668908e-06,6.546169103006724e-06,1.091028183834454e-06,4.364112735337816e-06,7.273521225563027e-07,1.4547042451126057e-06,5.45514091917227e-06,224.76,3.098520042089849e-06,0.0016888067901233569,0,11.513532780516805,0,179.808,0
Angola,1997,2248652.63,4702848.67,4.154359526372444,7.73,5.61,22.65,22.65,69.6,1.54,6.21,100.0,0.0,4164411.79,5156049.32,387770.0,10.38,5.25,61071.0,74.95,21.24,49.88,65.62,1436.8,5543118.72,5543819.32,0.0,África,1997-1999,2.7799248860444455e-05,1.3899624430222227e-05,1.3899624430222228e-06,2.7799248860444455e-05,0.0001389962443022,1.3899624430222227e-05,1.6679549316266676e-05,2.7799248860444456e-06,4.169887329066669e-06,0.0002084943664533,150.0,3.1524348207744016e-05,0.9818161525920917,0,15.528068026581112,0,120.0,0
Albania,1997,754960.71,255491.79,-18.13,5.93,6.96,63.15,63.15,31.05,0.85,4.95,1511.4,0.0,770.55,208813.3,27019.47,13.9,15.05,110723.0,77.28,18.42,44.52,75.06,3000.0,235640.52,235832.77,0.0,Europa,1997-1999,1.1326879223200287e-05,6.041002252373488e-06,7.55125281546686e-07,3.77562640773343e-06,9.06150337856023e-06,3.020501126186744e-06,7.55125281546686e-06,5.285876970826802e-06,4.530751689280115e-06,9.06150337856023e-06,2267.1000000000004,6.848986303628442e-06,0.0007715090914860517,0,12.37006694613256,0,1813.68,0
Andorra,1997,996701.23,47888.2,0.0,2.27,2.55,11.84,11.84,86.97,0.55,0.63,54.72,0.0,395.92,14137.82,36923.93,14.47,13.9,119325.0,79.48,16.22,52.91,82.69,1296.9,50905.27,51061.76,0.0,Europa,1997-1999,2.1230578783625885e-06,1.132297535126714e-06,1.4153719189083925e-07,7.076859594541962e-07,1.6984463026900707e-06,5.66148767563357e-07,1.4153719189083925e-06,9.907603432358749e-07,8.492231513450353e-07,1.6984463026900707e-06,82.08,1.283742330449912e-06,0.0007399628005422662,0,10.837741377663445,0,65.664,0
United Arab Emirates,1997,27372654.63,27188495.89,4.846360655737705,12.69,6.6,69.46,69.46,22.74,5.65,2.14,362.2,0.0,20775551.86,26183033.77,61946.33,13.08,7.22,458838.0,77.79,17.56,18.22,38.23,3000.0,26222256.17,26244980.11,0.0,Asia,1997-1999,0.0004017882651682,0.0003214306121346,0.001607153060673,0.0004821459182019,0.0014464377546057,0.0002410729591009,0.0009642918364038,0.0001607153060673,0.0003214306121346,0.0012053647955048,543.3,0.0006846472038467,34.199022024409324,0,17.082119118407014,0,434.64,0
Argentina,1997,27362488.51,26547238.38,13.02,10.81,15.21,76.5,76.5,18.32,1.15,4.03,1554.01,0.0,13422436.3,25221216.31,79515.86,12.66,16.28,470330.0,77.52,17.82,13.5,28.99,3000.0,25207594.39,25300732.17,0.0,América,1997-1999,0.0006276989442513,0.0009415484163769,0.0001569247360628,0.0007846236803141,0.0011769355204711,0.0005492365762198,0.000392311840157,0.0004707742081884,0.0007061613122827,0.0007846236803141,2331.015,0.0006912534623567,7.869104806866025,0,17.04265591143356,0,1864.812,0
Armenia,1997,457915.16,243415.68,4.846360655737705,12.03,5.93,79.79,79.79,15.48,0.56,4.17,601.24,0.0,27709.3,69409.03,71647.33,12.63,20.63,86994.0,77.37,17.76,51.5,107.85,3000.0,132820.05,141056.36,0.0,Asia,1997-1999,3.597167131923848e-06,2.877733705539078e-06,1.4388668527695393e-05,4.316600558308617e-06,1.2949801674925853e-05,2.1583002791543087e-06,8.633201116617235e-06,1.438866852769539e-06,2.877733705539078e-06,1.0791501395771545e-05,901.86,6.129572792798236e-06,0.0016525642175625034,0,11.796758012499383,0,721.4879999999999,0
Antigua and Barbuda,1997,304463.6,90770.94,3.7175375,10.36,4.16,41.16,41.16,48.12,0.55,10.17,200.0,0.0,244.14,54687.66,29206.92,12.79,6.84,59692.0,76.59,18.61,73.38,122.12,1436.8,83292.54,83894.58,0.0,América,1997-1999,2.1462429496856187e-06,3.219364424528428e-06,5.365607374214047e-07,2.682803687107024e-06,4.024205530660535e-06,1.8779625809749168e-06,1.341401843553512e-06,1.609682212264214e-06,2.414523318396321e-06,2.682803687107024e-06,300.0,2.363550048341288e-06,0.0007127629887873228,0,11.33012627412729,0,240.0,0
Australia,1997,56381068.21,60972309.25,0.35,9.96,11.05,64.71,64.71,29.03,1.41,4.85,2324.35,0.0,17822631.98,57795037.59,257360.88,12.56,11.75,540618.0,77.33,18.07,9.06,18.9,3000.0,57657524.37,58052398.47,0.0,Oceanía,1997-1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3486.5249999999996,0.0,0.0,0,17.870031331633008,0,2789.22,0
Austria,1997,59891504.71,51632456.9,-2.75,8.27,7.91,67.09,67.09,28.94,1.31,2.66,1767.03,0.0,8481210.21,15661657.77,199342.95,12.38,10.69,518123.0,77.64,17.88,7.77,15.81,3000.0,15590883.63,15861000.72,0.0,Europa,1997-1999,0.0022890543891973,0.0012208290075719,0.0001526036259464,0.0007630181297324,0.0018312435113579,0.0006104145037859,0.0015260362594649,0.0010682253816254,0.0009156217556789,0.0018312435113579,2650.545,0.0013841148873346,26.952306019679877,0,16.562196982849386,0,2120.4359999999997,0
Azerbaijan,1997,1388312.09,775318.06,-9.07,11.14,5.76,78.69,78.69,16.89,0.57,3.85,213.07,0.0,36519.28,416513.86,29396.68,13.69,13.9,111667.0,75.38,18.83,44.87,122.29,3000.0,445202.34,445910.55,0.0,Asia,1997-1999,1.1457555413927988e-05,9.166044331142388e-06,4.5830221655711946e-05,1.3749066496713582e-05,4.124719949014074e-05,6.874533248356791e-06,2.7498132993427164e-05,4.583022165571194e-06,9.166044331142388e-06,3.437266624178395e-05,319.605,1.952367442533329e-05,0.04721404026612505,0,13.006286400601567,0,255.68399999999997,0
Burundi,1997,70341.63,93341.81,-7.13,10.68,3.42,27.13,27.13,40.58,0.58,31.7,275.59,0.0,76821.97,77768.67,2067.31,13.16,21.4,23677.0,75.72,18.52,59.42,100.0,1511.4,79812.04,79835.98,0.0,África,1997-1999,5.517575383250261e-07,2.7587876916251305e-07,2.7587876916251307e-08,5.517575383250261e-07,2.7587876916251307e-06,2.7587876916251305e-07,3.310545229950157e-07,5.517575383250261e-08,8.276363074875393e-08,4.138181537437696e-06,413.385,6.256930484605796e-07,0.00014093975806973763,0,11.287442178609483,0,330.70799999999997,0
Benin,1997,1097140.36,316725.18,4.154359526372444,13.68,4.92,37.64,37.64,57.68,0.68,4.01,144.54,0.0,27.51,241671.88,21538.85,15.98,7.31,81048.0,76.39,18.43,70.64,147.79,3000.0,262557.18,263210.73,0.0,África,1997-1999,1.8722103807752475e-06,9.361051903876238e-07,9.361051903876239e-08,1.8722103807752475e-06,9.361051903876238e-06,9.361051903876238e-07,1.1233262284651483e-06,1.8722103807752478e-07,2.808315571162872e-07,1.4041577855814356e-05,216.81,2.1230865717991317e-06,0.0030872548395788207,0,12.47822797455096,0,173.44799999999998,0
Burkina Faso,1997,481867.9,165546.99,11.86,6.01,2.4,14.14,14.14,69.2,0.81,15.85,195.47,0.0,5389.33,115952.07,33320.52,14.25,8.53,48099.0,76.55,17.99,33.63,84.28,1554.01,149066.07,149272.59,0.0,África,1997-1999,9.785732640016056e-07,4.892866320008028e-07,4.892866320008028e-08,9.785732640016056e-07,4.892866320008028e-06,4.892866320008028e-07,5.871439584009633e-07,9.785732640016056e-08,1.4678598960024086e-07,7.339299480012041e-06,293.205,1.1097020813778207e-06,0.0006244212007574081,0,11.912151617875764,0,234.564,0
Bangladesh,1997,5836907.69,4756856.21,4.39,8.38,12.61,46.38,46.38,50.87,0.75,2.0,398.8,0.0,638709.28,4467177.52,56950.88,15.65,20.27,168012.0,79.51,15.93,26.55,53.19,3000.0,4522143.67,4524128.4,0.0,Asia,1997-1999,7.029623896825318e-05,5.623699117460254e-05,0.000281184955873,8.43554867619038e-05,0.0002530664602857,4.21777433809519e-05,0.0001687109735238,2.811849558730127e-05,5.623699117460254e-05,0.0002108887169047,598.2,0.0001197847912019,0.9509329570966476,0,15.324496923789509,0,478.56,0
